Date;Region;Type;Units;Sales
11/07/2020;East;Children's Clothing;18;306
23/09/2020;North;Children's Clothing;14;448
2/04/2020;South;Women's Clothing;17;425
28/02/2020;East;Children's Clothing;26;832
19/03/2020;West;Women's Clothing;3;33
5/02/2020;North;Women's Clothing;33;627
24/01/2020;South;Women's Clothing;12;396
25/03/2020;East;Women's Clothing;29;609
3/01/2020;North;Children's Clothing;18;486
3/11/2020;East;Children's Clothing;34;374
16/04/2020;South;Women's Clothing;16;352
9/08/2020;North;Men's Clothing;;270
1/05/2020;East;Men's Clothing;10;140
11/08/2020;East;Children's Clothing;12;348
7/01/2020;East;Men's Clothing;30;360
26/11/2020;West;Men's Clothing;27;864
12/06/2020;East;Women's Clothing;35;1050
20/08/2020;North;Children's Clothing;18;378
16/06/2020;North;Women's Clothing;34;884
8/03/2020;North;Men's Clothing;;644
14/09/2020;North;Children's Clothing;35;630
23/06/2020;West;Women's Clothing;18;288
10/07/2020;East;Children's Clothing;10;310
4/01/2020;North;Women's Clothing;19;361
18/06/2020;West;Men's Clothing;5;70
23/05/2020;North;Men's Clothing;;240
1/02/2020;East;Men's Clothing;21;420
2/09/2020;North;Children's Clothing;17;561
19/01/2020;East;Men's Clothing;3;63
29/06/2020;East;Women's Clothing;24;504
13/07/2020;West;Children's Clothing;30;450
9/10/2020;West;Men's Clothing;19;513
20/12/2020;East;Women's Clothing;30;930
28/11/2020;West;Men's Clothing;8;168
4/11/2020;East;Men's Clothing;19;475
17/12/2020;West;Children's Clothing;25;575
22/01/2020;North;Women's Clothing;23;276
24/04/2020;North;Men's Clothing;;900
30/12/2020;North;Children's Clothing;26;390
27/10/2020;East;Children's Clothing;18;450
6/06/2020;East;Women's Clothing;28;560
10/08/2020;North;Children's Clothing;22;242
17/03/2020;South;Children's Clothing;33;924
6/09/2020;East;Women's Clothing;11;363
11/05/2020;East;Men's Clothing;35;700
29/04/2020;East;Women's Clothing;14;462
30/07/2020;South;Children's Clothing;18;486
23/08/2020;North;Women's Clothing;27;324
31/01/2020;West;Men's Clothing;16;432
13/02/2020;West;Men's Clothing;24;552
14/08/2020;North;Women's Clothing;7;154
14/06/2020;East;Men's Clothing;32;416
5/07/2020;South;Women's Clothing;21;231
23/08/2020;East;Men's Clothing;20;540
30/07/2020;East;Women's Clothing;21;399
1/05/2020;North;Children's Clothing;31;837
20/04/2020;North;Children's Clothing;24;744
23/07/2020;South;Men's Clothing;27;351
25/12/2020;East;Men's Clothing;13;403
13/07/2020;North;Women's Clothing;15;375
11/07/2020;West;Women's Clothing;26;728
23/06/2020;West;Women's Clothing;20;360
9/04/2020;North;Men's Clothing;;493
15/09/2020;South;Children's Clothing;16;416
28/10/2020;East;Men's Clothing;34;986
21/10/2020;East;Men's Clothing;7;133
26/08/2020;North;Women's Clothing;31;961
29/05/2020;North;Women's Clothing;18;522
5/10/2020;North;Women's Clothing;25;375
15/06/2020;North;Men's Clothing;;247
1/12/2020;West;Children's Clothing;31;992
4/11/2020;South;Men's Clothing;28;868
17/02/2020;West;Men's Clothing;27;891
8/05/2020;West;Children's Clothing;28;784
4/03/2020;South;Children's Clothing;27;756
7/03/2020;North;Women's Clothing;11;363
14/08/2020;North;Children's Clothing;34;1088
29/11/2020;North;Men's Clothing;;276
15/04/2020;North;Men's Clothing;;304
29/05/2020;North;Men's Clothing;;348
30/11/2020;North;Men's Clothing;;180
11/12/2020;South;Women's Clothing;13;429
6/07/2020;North;Children's Clothing;7;189
3/12/2020;East;Children's Clothing;9;117
25/12/2020;East;Children's Clothing;25;475
